AMAZON;0 800 94 77 15;Internet
CARREFOUR;01 60 87 67 70;Alimentaire
EASYJET;0 820 42 03 15;Voyage
FNAC;09 69 36 06 36;Loisirs
FNAC.COM;09 69 36 06 36;Internet
BRICODEPOT;;Maison
DECATHLON;09 69 32 33 22;Sport
LEROY MERLIN;0 810 63 46 34;Maison
GEANT;0 820 21 21 21;Alimentaire
SNCF;3635;Voyage
IKEA;09 69 36 20 06;Maison
H&M;0 805 08 88 88;Mode
BETCLIC;01 70 72 21 91;Internet
MONOPRIX;08 00 03 90 00;Alimentaire
ZARA;0 811 64 01 21;Mode
PAYPAL;00 1 402-935-2050;Internet
AUCHAN;03 59 30 59 30;Alimentaire
BOULANGER;08 25 85 08 50;Loisirs
EUROPCAR;08 25 35 83 58;Voyage
AIR FRANCE;0 892 70 26 54;Voyage
APPLE;0 805 54 00 03;Internet
BATA;09 75 18 11 45;Mode
LAFAYETTE;;Mode
NOVOTEL;01 45 83 05 15;Voyage
BRICORAMA;;Maison
ARMAND THIERY;;Mode
CDISCOUNT;3979;Internet
SAINT MACLOU;;Maison
INTERMARCHE;0 800 00 81 80;Alimentaire
VIP.COM;;
BOUYGUES;1064;
SUPER U;09 69 36 63 63;Alimentaire
HERTZ;0 800 824 824;Voyage
AIR BERLIN;0826 96 73 78;Voyage
LECLERC;09 69 32 42 52;Alimentaire
VENTE PRIVEE;0 809 10 88 88;Internet
TRUFFAUT;0 806 80 04 20;Maison
RUEDUCOMMERCE;0 892 46 56 66;Internet
TOYSRUS;;
SPARTOO;;
TOPSHOP;;
